Location Name,Address,Description,Accessibility Notes,Hours of Operation,Seasonal variability hours,Phone,Web link,Latitude,Longitude,Location,geometry_point
Terwillegar Park Portable Toilet,10 Rabbit Hill Road NW,Portable Toilet Year Round,Standard portable toilets,Park Hours - 5:00 - 23:00 daily,Seasonal variability hours,311,edmonton.ca/terwillegarpark,53.480402,-113.608254,"(53.480402,-113.608254)",POINT (-113.608254 53.480402)
Londonderry Library,"166 Londonderry Mall, 137 Avenue & 66 Street NW",Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1814,https://www.epl.ca/locations/EPLLON,53.607333,-113.444108,"(53.607333,-113.444108)",POINT (-113.444108 53.607333)
The Meadows Community Recreation Centre,2704-17 Street NW,Within the Recreation Centre,The Recreation Centre and Arenas are fully accessible,"Mon-Fri 05:30-22:30, Sat-Sun 06:00-22:00",Same hours year round,311,edmonton.ca/meadowsrec,53.457835,-113.370408,"(53.457835,-113.370408)",POINT (-113.370408 53.457835)
Rundle Park Family Centre,2903-113 Avenue NW,Within the Park Pavillion,Accessible bathrooms and water fountains.,"09:00 to 21:00 Summer, 09:00-22:00 Winter",Same hours year round,311,edmonton.ca/rundlepark,53.553960,-113.389082,"(53.553960,-113.389082)",POINT (-113.389082 53.55396)
ACT Aquatic & Recreation Centre,2909-113 Avenue NW,"Within the Recreation Centre & Pool, multiple bathrooms",ACT Aquatic and Recreation Centre is a fully accessible facility.,Currently closed for renovations until Sept 2022,Same hours year round,311,edmonton.ca/act,53.556155,-113.387069,"(53.556155,-113.387069)",POINT (-113.387069 53.556155)
Kenilworth Arena,8313-68 A Street NW,Within the Arena,The majority of the Arena is accessible with accessible washrooms,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/kenilwortharena,53.519311,-113.431144,"(53.519311,-113.431144)",POINT (-113.431144 53.519311)
Bill Hunter Arena,9200-163 Street NW,Within the Arena,The majority of the facility is accessible.  There are accessible washrooms on ground level,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/billhunterarena,53.52696,-113.60409,"(53.52696,-113.60409)",POINT (-113.60409 53.52696)
Hardisty Fitness and Leisure Centre,10535-65 Avenue NW,Within the Leisure Centre,The majority of the facility is accessible.  Wheelchair accessible washrooms and change rooms,"M-F 05:30-22:00, Sat 09:00-16:00, Sun 11:00-18:00 Holidays closed",Same hours year round,311,edmonton.ca/hardisty,53.548806,-113.430781,"(53.548806,-113.430781)",POINT (-113.430781 53.548806)
Rundle Park Tennis Court Bldg,2903-113 Avenue NW,Washroom Building,"Older bathroom, not wheelchair accessible",9:00 to 21:00,Seasonal variability hours,311,edmonton.ca/rundlepark,53.559374,-113.383117,"(53.559374,-113.383117)",POINT (-113.383117 53.559374)
Lewis Farms Transit Centre,Webber Greens Drive and Suder Greens Drive NW,Within the Transit Facility,Accessible Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/lewis-farms-transit-centre,53.523176,-113.666785,"(53.523176,-113.666785)",POINT (-113.666785 53.523176)
Muttart Conservatory,9626-96A Street NW,Within the building,The facility is mostly accessible.  Accessible washrooms in main atrium.,"Bathrooms in paid entry.  Mon - Tues 10:00-17:00, Wed Thursday16:00-22:00 Friday 10:00-17:00, Sat/Sun 9:00-17:00",Same hours year round,311,edmonton.ca/muttart,53.535437,-113.476909,"(53.535437,-113.476909)",POINT (-113.476909 53.535437)
Churchill Square Centennial Pavilion,9930-102 Avenue NW,Washroom Building,Fully accessible washrooms,07:00 to 17:30 daily,Same hours year round,311,edmonton.ca/churchillsquare,53.543871,-113.490314,"(53.543871,-113.490314)",POINT (-113.490314 53.543871)
Coronation Park Picnic Site Portable Toilet,141 Street 114 Ave NW,Portable Toilet (Seasonal),Standard portable toilet,Park Hours - 5:00 - 23:00 daily,Seasonal variability hours,311,edmonton.ca/coronationpark,53.562450,-113.562775,"(53.562450,-113.562775)",POINT (-113.562775 53.56245)
Jasper Place Library,9010-156 Street NW,Within the Library,Accessible Public Washroom,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1810,https://www.epl.ca/locations/EPLJPL,53.523395,-113.591441,"(53.523395,-113.591441)",POINT (-113.591441 53.523395)
Castle Downs Twin Arena,11520-153 Avenue NW,Within the Arena,"Castle Downs Arena is a fully accessible facility.
Power doors at the front entrance
Accessible stalls in public washrooms
2 self-contained accessible washrooms off the hallway leading to rink B
Accessible viewing area
Accessible change rooms",Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/castledownsarena,53.616059,-113.520938,"(53.616059,-113.520938)",POINT (-113.520938 53.616059)
Victoria Golf Course Clubhouse,12130-River Valley Road NW,Within a building/facility,"Accessible Parking, accessible washrooms",April 1st to October 31; Dec to March,Same hours year round,311,edmonton.ca/victoriagolf,53.538725,-113.528704,"(53.538725,-113.528704)",POINT (-113.528704 53.538725)
Clareview LRT Station,48 Street and 139 Avenue NW,Within the Transit Facility,All entrances are accessible. Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/clareview-lrt-station,53.601755,-113.410905,"(53.601755,-113.410905)",POINT (-113.410905 53.601755)
Meadows Transit Centre,17 Street and Tamarack Way NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Seasonal variability hours,311,https://www.edmonton.ca/ets/meadows-transit-centre,53.47847,-113.36789,"(53.47847,-113.36789)",POINT (-113.36789 53.47847)
Highlands Library,6710-118 Avenue NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1806,https://www.epl.ca/locations/EPLHIG,53.570548,-113.444871,"(53.570548,-113.444871)",POINT (-113.444871 53.570548)
Mill Woods Recreation Centre,7207-28 Avenue NW,Within the Recreation Centre,The Centre is fully accessible.  Wheelchair accessible washrooms  and change rooms,Mon-Fri 05:30-22:00 Sat 07:00-21:00 Sun 07:00-20:00,Same hours year round,311,edmonton.ca/millwoodsrec,53.457153,-113.444876,"(53.457153,-113.444876)",POINT (-113.444876 53.457153)
Borden Park Pavilion/Washroom,7715- Borden Park Road NW,Within the Park Pavillion,Accessible Public Washrooms,0800-21:00 daily,Same hours year round,311,edmonton.ca/bordenpark,53.563042,-113.458505,"(53.563042,-113.458505)",POINT (-113.458505 53.563042)
George S Hughes Southside Arena,10525 72 Avenue NW,Within the Arena,The arena has poor accessibility.  There is not a wheelchair accessible washroom.,Variable hours - Only open during ice bookings,Winter closure,311,edmonton.ca/georgehughesarena,53.50823,-113.50165,"(53.50823,-113.50165)",POINT (-113.50165 53.50823)
Warehouse Park Site,107 Street and Jasper Avenue NW,MobileToilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,10:00-21:00,Winter closure,311,edmonton.ca/parkwashrooms,53.542270,-113.505288,"(53.542270,-113.505288)",POINT (-113.505288 53.54227)
Prospector Point Outhouse,Township Rd 510A,Permanent Outhouse,Poor accessibility,Open Park Hours,Same hours year round,780-968-8888,https://www.parklandcounty.com/en/live-and-play/Parks-Trails-and-Natural-Areas.aspx,53.372257,-113.751718,"(53.372257,-113.751718)",POINT (-113.751718 53.372257)
Sprucewood Library,11555-95 Street,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-7099,https://www.epl.ca/locations/EPLSPW,53.56718,-113.48688,"(53.56718,-113.48688)",POINT (-113.48688 53.56718)
Kinsmen Park Playground Washroom,9100-Walterdale Hill NW,Washroom Building,"Old washroom, no accessible access, up hill from playground","Summer only, 09:00 to 21:00",Same hours year round,311,edmonton.ca/kinsmenpark,53.526103,-113.508763,"(53.526103,-113.508763)",POINT (-113.508763 53.526103)
Mill Woods Pavilion (exterior washrooms),71 Street and 23 Avenue NW,"Within the Park Pavillion, exterior access",Accessible Public Washrooms,"May 1 - Sept 30, Mon - Fri 16:00-22:00, Sat/Sun 08:00-22:00",Seasonal variability hours,311,edmonton.ca/millwoodspark,53.455476,-113.441701,"(53.455476,-113.441701)",POINT (-113.441701 53.455476)
Calder Library,12710-131 Avenue NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-7090,https://www.epl.ca/locations/EPLCAL,53.590174,-113.542358,"(53.590174,-113.542358)",POINT (-113.542358 53.590174)
Old Strathcona Public Washroom,10270-82 Avenue NW,Washroom Building,Accessible Public Washrooms,9:30 AM to 21:30 daily,Same hours year round,311,edmonton.ca/parkwashrooms,53.51833,-113.494673,"(53.51833,-113.494673)",POINT (-113.494673 53.51833)
Dawson Park Amenity Bldg,104 Avenue & 90 Street NW,Within the Park Pavillion,Washrooms in amenity building are somewhat accessible but not barrier free,9:00 to 21:00,Seasonal variability hours,311,edmonton.ca/dawsonpark,53.550530,-113.470393,"(53.550530,-113.470393)",POINT (-113.470393 53.55053)
Meadows Library,2702 17 Street NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-442-7472,https://www.epl.ca/locations/EPLMEA,53.457835,-113.370408,"(53.457835,-113.370408)",POINT (-113.370408 53.457835)
John Janzen Nature Centre,Shared Parking with Fort Edmonton Park,"Within John Janzen, also composting toilet outside.","Accessible parking, nature exhibits and washrooms.",Daily 10:00 - 17:00. Hours may vary on holidays,Seasonal variability hours,311,edmonton.ca/johnjanzen,53.502520,-113.572537,"(53.502520,-113.572537)",POINT (-113.572537 53.50252)
Strathcona Library,8331-104 Street NW,Within a building/facility,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1828,https://www.epl.ca/locations/EPLSTR,53.519817,-113.497310,"(53.519817,-113.497310)",POINT (-113.49731 53.519817)
O'leary Fitness & Leisure Centre,8804-132 Avenue NW,Within the Leisure Centre,The facility is fully accessible.  Washrooms are barrier free,Mon-Sat 06:30-9:00 Sunday 06:30-18:00,Seasonal variability hours,311,edmonton.ca/oleary,53.59290,-113.47660,"(53.59290,-113.47660)",POINT (-113.4766 53.5929)
Alberta Avenue Community League,9210-118 Avenue NW,MobileToilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,10:00-21:00,Winter closure,311,edmonton.ca/parkwashrooms,53.570858,-113.483913,"(53.570858,-113.483913)",POINT (-113.483913 53.570858)
Clareview Library,3808-139 Avenue NW,Within the Library,Accessible Public Washroom,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-442-7471,https://www.epl.ca/locations/EPLCLV,53.60249,-113.40390,"(53.60249,-113.40390)",POINT (-113.4039 53.60249)
Coliseum LRT Station,76 Street and 118 Avenue NW,Within the Transit Facility,"The following entrances are accessible:  77 Street & 119 Ave by Transit Centre, 118 Avenue northside entrance (underpass), Eastside entrance by ped bridge.  Accessible Public Washroom",Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/coliseum-lrt-station,53.570723,-113.458337,"(53.570723,-113.458337)",POINT (-113.458337 53.570723)
Whitemud Park Amenity Building,13810-Fox Drive NW,Washroom Building,Accessible Public Washrooms,9:00 to 21:00,Same hours year round,311,edmonton.ca/whitemudpark,53.504221,-113.558027,"(53.504221,-113.558027)",POINT (-113.558027 53.504221)
Eastglen Leisure Centre,11410-68 Street NW,Within the Leisure Centre,"The majority of the facility is accessible, wheelchair accessible unisex washrooms",Mon-Thur 06:00 to 21:30 Fri 06:00 to 24:00 Sat 06:00 to 18:30 & 22:00 to 24:00 Sun 08:00 to 20:00 (Currently closed for renovation),Same hours year round,311,edmonton.ca/eastglen,53.56695,-113.4488,"(53.56695,-113.4488)",POINT (-113.4488 53.56695)
Hermitage Park Off Leash Area Portable Toilet,2115-Hermitage Road NW,Portable Toilet (Seasonal),Standard portable toilet,Park Hours - 5:00 - 23:00 daily,Same hours year round,311,edmonton.ca/hermitagepark,53.584944,-113.373487,"(53.584944,-113.373487)",POINT (-113.373487 53.584944)
Capilano Park Amenity Building,10980-50 Street NW,Within the Park Pavillion,Washrooms in amenity building are somewhat accessible but not barrier free,09:00 - 21:00 Daily,Same hours year round,311,edmonton.ca/capilanopark,53.561382,-113.421892,"(53.561382,-113.421892)",POINT (-113.421892 53.561382)
Whitemud Park Portable Toilet (north of Snow Valley ski trail by trail entrance),45 Avenue and Rainbow Valley Road NW,Portable Toilet (Seasonal),Standard portable toilet,Park Hours - 5:00 - 23:00 daily,Same hours year round,311,edmonton.ca/whitemudpark,53.486006,-113.557487,"(53.486006,-113.557487)",POINT (-113.557487 53.486006)
Castledowns Park Portable Toilet,11930-153 Avenue NW,Mobile Toilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,Park Hours - 5:00 - 23:00 daily,Winter closure,311,edmonton.ca/castledownspark,53.616825,-113.525964,"(53.616825,-113.525964)",POINT (-113.525964 53.616825)
Dr. Anne Anderson Community Centre,11810-35 Avenue SW,Within the Community Centre,"The majority of the facility is accessible, barrier free change rooms and washrooms.","M-F 6:00-22:00, Sat & Sun 7-22:00 Holidays 8-20:00",Same hours year round,311,https://www.edmonton.ca/activities_parks_recreation/dr-anne-anderson-school-and-community-centre,53.401934,-113.543538,"(53.401934,-113.543538)",POINT (-113.543538 53.401934)
Grand Trunk Fitness and Leisure Centre,13025-112 Street NW,Within the Leisure Centre,The majority of the facility is accessible.  Wheelchair accessible washrooms and change rooms,"M-F 06:00-22:00, Sat 07:45-18:30, Sun 07:45-21:30 Closed Holidays",Same hours year round,311,edmonton.ca/grandtrunk,53.589723,-113.512403,"(53.589723,-113.512403)",POINT (-113.512403 53.589723)
Russ Barnes Arena,6725-121 Ave NW,Within the Arena,The arena has poor accessibility.  There is one self contained accessible washroom,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/russbarnesarena,53.574603,-113.446391,"(53.574603,-113.446391)",POINT (-113.446391 53.574603)
Churchill LRT Station,99 Street and 102 A Avenue NW,Within the Transit Facility,"The following entrances to Churchill LRT Station are accessible: City Hall, Art Gallery of Alberta, Francis Winspear Centre, Tix on the Square, Churchill Connector.  Accessible Public Washroom at South end of Station Concourse.",Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/churchill-lrt-station,53.543651,-113.489250,"(53.543651,-113.489250)",POINT (-113.48925 53.543651)
Jasper Place Transit Centre,157 Street and Stony Plain Road NW,Within the Transit Facility,Accessible Public Washroom,currently closed to the public,Currently closed,311,edmonton.ca/jasperPlaceTransitCentre,53.540535,-113.591844,"(53.540535,-113.591844)",POINT (-113.591844 53.540535)
Buena Vista Park Washroom Building,13210-Buena Vista Road NW,Washroom Building,Washroom near off-leash meadow is accessible,09:00-21:00 daily,Same hours year round,311,edmonton.ca/buenavistapark,53.515311,-113.547638,"(53.515311,-113.547638)",POINT (-113.547638 53.515311)
Giovanni Caboto Park Washroom Building,9403-109 A Avenue NW,Washroom Building,"Older building, poor accessibility",Summer: Only open during green shack times 10:30-17:30 M-F. Closed during Winter,Seasonal variability hours,311,edmonton.ca/parkwashrooms,53.556225,-113.484467,"(53.556225,-113.484467)",POINT (-113.484467 53.556225)
Westwood Arena,12040-97 Street NW,Within the Arena,"Westwood arena is partially accessible, there are accessible washrooms",Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/westwoodarena,53.574215,-113.493499,"(53.574215,-113.493499)",POINT (-113.493499 53.574215)
Emily Murphy Park Washroom Building,Emily Murphy Road & Groat Road NW,Washroom Building,Washrooms are mostly barrier free with the exception of the non-level threshold entrances and the sink areas.,9:00 to 21:00,Same hours year round,311,edmonton.ca/emilymurphypark,53.533773,-113.536910,"(53.533773,-113.536910)",POINT (-113.53691 53.533773)
Lois Hole (Callingwood) Library,17650-69 Avenue NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Seasonal variability hours,780-442-0888,https://www.epl.ca/locations/EPLLHL,53.504861,-113.626247,"(53.504861,-113.626247)",POINT (-113.626247 53.504861)
Riverbend Library,"460 Riverbend Square, Rabbit Hill Road and Terwillegar Drive",Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-944-5311,https://www.epl.ca/locations/EPLRIV,53.468182,-113.583910,"(53.468182,-113.583910)",POINT (-113.58391 53.468182)
Lauderdale Offleash Park,129 Avenue and 109 Street NW,Mobile Toilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,10:00-21:00,Winter closure,311,edmonton.ca/parkwashrooms,53.586825,-113.510589,"(53.586825,-113.510589)",POINT (-113.510589 53.586825)
Kinistinaw Park,10249-96 Street NW,Mobile Toilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,10:00-21:00,Winter closure,311,edmonton.ca/parkwashrooms,53.546028,-113.482914,"(53.546028,-113.482914)",POINT (-113.482914 53.546028)
Bonnie Doon Leisure Centre,8648-81 Street NW,Within the Leisure Centre,The facility is fully accessible.,"Mon - Friday 06:00-13:00, 15:00-21:00 Sat 7:00-19:00 Sunday 7:00-18:00",Same hours year round,311,edmonton.ca/bonniedoonpool,53.523718,-113.453642,"(53.523718,-113.453642)",POINT (-113.453642 53.523718)
