Name,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
Camden Town Hall Public Toilets,"8.30am - 8pm, Monday to Saturday",Town Hall,,Judd Street,WC1H 9JE,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013666,Kings Cross,530135,182795,-0.125353,51.529079,"(51.529079, -0.125353)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,3
West Hampstead Underground Station,,West Hampstead Underground Station,,West End Lane,NW6 2LS,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05013671,West Hampstead,525552,184649,-0.19073,51.546771,"(51.546771, -0.19073)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,34
Lauderdale House,From 9am - dusk,Lauderdale House,,Highgate Hill,N6 5HG,,,http://www.lauderdalehouse.org.uk,E05013661,Highgate,528773,187236,-0.143352,51.569302,"(51.569302, -0.143352)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,20
Kentish Town Library,"Mon – Sat, 11am to 3.30pm",Kentish Town Library,262-266,Kentish Town Road,NW5 2AA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kentishtownlibrary,E05013664,Kentish Town South,529029,185095,-0.140445,51.550003,"(51.550003, -0.140445)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,16
Hampstead Heath Public Conveniences,,Hampstead Heath,,Highgate Road,,020 7332 3322,,http://www.cityoflondon.gov.uk/hampstead,E05013661,Highgate,527750,185795,-0.158641,51.556578,"(51.556578, -0.158641)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,12
Regent's Park Chester Road Public Toilet,,Public Toilet,,,NW1 4NU,0300 061 2300,,https://www.royalparks.org.uk/parks/the-regents-park,,,528502.42,182703.9,-0.1489087,51.5286341,"(51.5286341, -0.1489087)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,26
Primrose Hill Public Toilet,,Public Toilet,,,NW1 8UD,0300 061 2300,,https://www.royalparks.org.uk/parks/the-regents-park,E05013667,Primrose Hill,527880.78,183644.18,-0.1575239,51.5372254,"(51.5372254, -0.1575239)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,24
Community Toilet Scheme Pedros Cafe,"Mon-Sun, 8am-4pm",,165,Kentish Town Road,NW1 8PD,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05013664,Kentish Town South,528933,184628,-0.142015,51.54582,"(51.54582, -0.142015)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,7
Camden Market Public Toiet,,Public Toilet,,,NW1 8AF, 020 3763 9900,,https://www.camdenmarket.com/visit-us,E05013655,Camden Town,528667.46,184143.1,-0.1460052,51.5415306,"(51.5415306, -0.1460052)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,2
West Hampstead Thameslink,,West Hampstead Thameslink Railway Station,,West End Lane,NW6 2LJ,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05013671,West Hampstead,525506,184844,-0.191326,51.548535,"(51.548535, -0.191326)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,33
Waterlow Park Centre Conveniences,Daylight hours,Waterlow Park Centre,,Dartmouth Park Hill,N19 5JF,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/ccm/content/contacts/council-contacts/leisure-council-contacts/parks-and-open-spaces/contact-waterlow-park/,E05013661,Highgate,528799,187131,-0.14303,51.568344,"(51.568344, -0.14303)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,30
Kenwood House Public Conveniences,"9am-7pm (Summer), 9am-4pm (Winter).",Kenwood House,,Hampstead Lane,NW3 7JR,020 8348 1286,,http://www.camden.gov.uk/toilets,E05013661,Highgate,527087,187419,-0.1676,51.57132,"(51.57132, -0.1676)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,17
Community Toilet Scheme Burgh House & Hampstead Museum,,Burgh House,,New End Square,NW3 1LT,020 7974 4444 (Contact Camden call centre),,http://www.burghhouse.org.uk,E05013659,Hampstead Town,526607,185944,-0.175061,51.558178,"(51.558178, -0.175061)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,6
South End Green Public Conveniences,"Toilets below ground via stairs. 1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Conveniences,,South End Green,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013658,Gospel Oak,527311,185536,-0.165065,51.554347,"(51.554347, -0.165065)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,27
Highgate Library,"Tue-Thu & Sat, 11am to 3.30pm",Highgate Library,59,Chester Road,N19 5DH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/highgatelibrary,E05013661,Highgate,528740,186620,-0.144068,51.563774,"(51.563774, -0.144068)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,13
Pond Square Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,South Grove,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013661,Highgate,528389,187368,-0.148856,51.570576,"(51.570576, -0.148856)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,23
